Date,Open,High,Low,Close
12/28/2023,"134,193.59","134,391.67","133,832.26","134,185.24"
12/27/2023,"133,523.40","134,195.47","133,328.39","134,193.72"
12/26/2023,"132,752.95","133,644.66","132,752.95","133,532.92"
12/22/2023,"132,552.78","133,035.32","132,093.76","132,752.93"
12/21/2023,"130,826.19","132,276.94","130,822.35","132,182.01"
12/20/2023,"131,850.90","132,340.75","130,709.80","130,804.17"
12/19/2023,"131,087.69","132,046.94","131,085.81","131,850.90"
12/18/2023,"130,202.35","131,447.27","130,198.41","131,083.82"
12/15/2023,"130,841.93","131,661.25","129,883.62","130,197.10"
12/14/2023,"129,469.02","131,259.81","129,469.02","130,842.09"
12/13/2023,"126,406.22","129,793.35","126,298.76","129,465.08"
12/12/2023,"126,922.95","127,359.19","126,013.15","126,403.03"
12/11/2023,"127,092.79","127,153.64","126,526.12","126,916.41"
12/08/2023,"126,009.57","127,289.43","125,562.34","127,093.57"
12/07/2023,"125,622.65","126,581.04","125,565.53","126,009.57"
12/06/2023,"126,906.70","127,537.55","125,614.35","125,622.65"
12/05/2023,"126,802.40","127,488.56","126,491.48","126,903.25"
12/04/2023,"128,182.88","128,182.88","126,643.22","126,802.79"
12/01/2023,"127,331.12","128,184.91","126,655.67","128,184.91"
11/30/2023,"126,168.35","127,398.69","126,168.35","127,331.12"
11/29/2023,"126,540.64","127,388.15","126,017.97","126,165.64"
11/28/2023,"125,725.69","126,916.00","125,387.96","126,538.32"
11/27/2023,"125,517.27","125,826.08","124,839.65","125,731.45"
11/24/2023,"126,552.58","126,552.58","125,341.01","125,517.27"
11/23/2023,"126,034.62","126,759.88","125,763.78","126,575.75"
11/22/2023,"125,626.20","126,875.11","125,439.03","126,035.30"
11/21/2023,"125,957.06","125,957.06","125,059.77","125,626.03"
11/20/2023,"124,773.21","126,162.01","124,773.21","125,957.06"
11/17/2023,"124,639.24","125,431.07","124,546.59","124,773.21"
11/16/2023,"123,165.30","124,736.97","123,165.30","124,639.24"
11/14/2023,"120,410.51","123,370.35","120,410.51","123,165.76"
11/13/2023,"120,561.18","120,606.30","119,878.23","120,410.17"
11/10/2023,"119,035.85","120,822.77","119,035.85","120,568.14"
11/09/2023,"119,180.45","120,256.62","118,445.86","119,034.14"
11/08/2023,"119,268.06","119,975.84","118,463.87","119,176.67"
11/07/2023,"118,422.18","119,576.62","118,026.33","119,268.06"
11/06/2023,"118,159.97","118,757.52","118,044.82","118,431.25"
11/03/2023,"115,062.37","118,501.80","115,062.37","118,159.97"
11/01/2023,"113,156.70","115,433.25","113,156.70","115,052.96"
10/31/2023,"112,534.49","113,597.32","112,098.12","113,143.67"
10/30/2023,"113,303.16","114,204.07","112,308.50","112,531.52"
10/27/2023,"114,776.86","115,341.65","112,953.38","113,301.35"
10/26/2023,"112,840.03","114,885.61","112,840.03","114,776.86"
10/25/2023,"113,761.90","114,318.65","112,680.27","112,829.97"
10/24/2023,"112,813.83","114,248.72","112,813.83","113,761.90"
10/23/2023,"113,144.74","113,679.63","112,164.36","112,784.52"
10/20/2023,"113,996.28","114,089.58","112,533.33","113,155.28"
10/19/2023,"114,059.49","115,062.61","113,767.75","114,004.30"
10/18/2023,"115,907.04","115,907.04","113,952.11","114,059.64"
10/17/2023,"116,526.43","116,916.68","115,563.93","115,908.43"
10/16/2023,"115,759.93","116,905.38","115,759.93","116,533.85"
10/13/2023,"117,049.99","117,070.35","115,658.27","115,754.08"
10/11/2023,"116,736.95","117,098.64","116,231.22","117,050.74"
10/10/2023,"115,157.90","116,899.51","115,157.90","116,736.95"
10/09/2023,"114,168.99","115,218.65","113,448.18","115,156.07"
10/06/2023,"113,282.50","114,491.00","111,598.57","114,169.63"
10/05/2023,"113,608.78","114,359.33","112,704.87","113,284.08"
10/04/2023,"113,430.05","114,075.29","113,036.30","113,607.45"
10/03/2023,"115,054.87","115,055.63","113,150.89","113,419.04"
10/02/2023,"116,565.17","116,672.30","114,761.10","115,056.86"
09/29/2023,"115,742.27","116,899.02","115,742.27","116,565.17"
09/28/2023,"114,327.05","115,953.65","114,180.49","115,730.76"
09/27/2023,"114,193.43","115,340.41","113,365.75","114,327.05"
09/26/2023,"115,922.45","115,922.45","114,162.28","114,193.43"
09/25/2023,"116,008.64","116,030.83","115,573.35","115,924.61"
09/22/2023,"116,147.03","116,967.50","115,855.48","116,008.64"
09/21/2023,"118,695.09","118,695.09","116,012.92","116,145.05"
09/20/2023,"117,863.67","119,615.70","117,846.51","118,695.32"
09/19/2023,"118,293.14","118,457.81","117,627.67","117,845.78"
09/18/2023,"118,758.67","119,485.90","118,122.66","118,288.21"
09/15/2023,"119,392.62","119,780.20","118,666.46","118,757.53"
09/14/2023,"118,181.15","119,748.08","118,181.15","119,391.55"
09/13/2023,"117,968.12","119,317.66","117,721.83","118,175.97"
09/12/2023,"116,885.04","118,153.67","116,885.04","117,968.12"
09/11/2023,"115,315.94","117,130.81","115,315.94","116,883.34"
09/08/2023,"115,979.43","115,979.43","114,838.85","115,313.40"
09/06/2023,"117,331.30","117,970.71","115,983.53","115,985.34"
09/05/2023,"117,776.37","117,956.71","116,637.02","117,331.30"
09/04/2023,"118,201.31","118,576.42","117,589.94","117,776.62"
09/01/2023,"115,743.80","117,990.61","115,743.80","117,892.96"
08/31/2023,"117,537.42","117,636.62","115,741.81","115,741.81"
08/30/2023,"118,404.16","118,840.80","117,470.87","117,535.10"
08/29/2023,"117,123.70","118,493.13","117,123.70","118,403.61"
08/28/2023,"115,838.36","117,252.99","115,835.71","117,120.98"
08/25/2023,"117,025.02","117,252.11","115,396.62","115,837.20"
08/24/2023,"118,135.08","118,135.57","116,847.66","117,025.60"
08/23/2023,"116,159.67","118,134.59","116,158.89","118,134.59"
08/22/2023,"114,433.39","116,285.57","114,433.39","116,156.01"
08/21/2023,"115,409.37","115,424.65","114,066.51","114,429.35"
08/18/2023,"114,973.40","115,728.91","114,423.28","115,408.52"
08/17/2023,"115,592.14","116,610.49","114,859.21","114,982.30"
08/16/2023,"116,171.26","117,337.65","115,533.58","115,591.52"
08/15/2023,"116,808.91","117,697.25","116,033.15","116,171.42"
08/14/2023,"118,066.52","118,081.90","116,529.96","116,809.55"
08/11/2023,"118,349.60","119,053.92","117,415.21","118,065.14"
08/10/2023,"118,412.19","119,438.15","118,112.68","118,349.60"
08/09/2023,"119,089.61","119,089.61","117,901.04","118,408.77"
08/08/2023,"119,378.14","119,552.69","117,491.95","119,090.24"
08/07/2023,"119,509.35","120,103.93","118,893.90","119,379.50"
08/04/2023,"120,585.58","121,442.02","119,215.02","119,507.68"
08/03/2023,"120,859.46","122,619.14","120,365.38","120,585.77"
08/02/2023,"121,249.27","121,251.53","119,797.92","120,858.72"
08/01/2023,"121,944.64","121,944.64","120,153.62","121,248.39"
07/31/2023,"120,187.87","122,148.81","120,187.87","121,942.98"
07/28/2023,"120,002.29","120,660.21","119,706.26","120,187.11"
07/27/2023,"122,560.38","122,598.97","119,824.52","119,989.64"
07/26/2023,"122,002.76","122,746.72","121,370.43","122,560.38"
07/25/2023,"121,343.58","123,009.90","121,343.58","122,007.77"
07/24/2023,"120,219.62","121,771.71","120,099.34","121,341.69"
07/21/2023,"118,090.40","120,372.77","118,085.75","120,216.77"
07/20/2023,"117,558.37","118,290.29","117,484.27","118,082.90"
07/19/2023,"117,841.92","118,011.46","116,659.55","117,552.07"
07/18/2023,"118,217.99","118,731.86","117,324.10","117,841.19"
07/17/2023,"117,710.54","118,302.34","116,591.12","118,219.46"
07/14/2023,"119,268.24","119,328.65","117,525.54","117,710.54"
07/13/2023,"117,670.79","119,739.09","117,668.13","119,263.89"
07/12/2023,"117,557.13","119,156.48","117,557.13","117,666.49"
07/11/2023,"117,941.81","117,941.81","115,703.93","117,219.95"
07/10/2023,"118,897.42","118,897.42","117,814.49","117,942.44"
07/07/2023,"117,426.95","119,548.71","117,426.95","118,897.99"
07/06/2023,"119,548.02","119,548.02","117,095.88","117,425.70"
07/05/2023,"119,072.03","120,199.87","118,688.39","119,549.21"
07/04/2023,"119,672.95","119,677.86","118,830.47","119,076.37"
07/03/2023,"118,092.02","119,877.04","118,092.02","119,672.78"
06/30/2023,"118,387.53","119,447.25","118,087.00","118,087.00"
06/29/2023,"116,682.51","118,622.75","116,682.51","118,382.65"
06/28/2023,"117,524.21","117,936.71","116,559.70","116,681.32"
06/27/2023,"118,246.17","119,211.58","116,561.04","117,522.87"
06/26/2023,"118,977.38","119,147.99","117,490.80","118,242.95"
06/23/2023,"118,959.01","119,386.09","118,178.09","118,977.10"
06/22/2023,"120,419.87","120,419.87","118,018.03","118,934.20"
06/21/2023,"119,623.10","120,518.52","119,332.00","120,420.26"
06/20/2023,"119,857.76","119,857.76","118,415.66","119,622.40"
06/19/2023,"118,756.79","119,939.00","118,557.81","119,857.76"
06/16/2023,"119,208.35","119,554.92","118,487.30","118,758.42"
06/15/2023,"119,068.45","119,686.12","118,692.80","119,221.00"
06/14/2023,"116,753.31","119,084.50","116,744.58","119,068.77"
06/13/2023,"117,337.35","117,924.06","116,363.43","116,742.71"
06/12/2023,"117,021.59","117,734.99","116,704.14","117,336.34"
06/09/2023,"115,488.91","117,602.97","115,488.91","117,019.48"
06/07/2023,"114,610.22","115,978.12","114,610.22","115,488.16"
06/06/2023,"112,697.26","114,782.66","112,695.60","114,610.10"
06/05/2023,"112,558.15","113,071.20","111,736.44","112,696.32"
06/02/2023,"110,568.40","113,069.55","110,567.44","112,558.15"
06/01/2023,"108,339.14","110,745.40","108,334.59","110,564.66"
05/31/2023,"108,967.03","109,136.79","108,193.41","108,335.07"
05/30/2023,"110,333.40","111,290.69","108,551.51","108,967.03"
05/29/2023,"110,905.81","111,168.05","110,195.11","110,333.40"
05/26/2023,"110,057.62","111,705.53","109,900.40","110,905.51"
05/25/2023,"108,799.60","111,114.53","108,799.60","110,054.38"
05/24/2023,"109,919.92","109,919.92","108,546.09","108,799.54"
05/23/2023,"110,212.54","111,324.70","109,713.06","109,928.53"
05/22/2023,"110,744.91","111,643.30","110,178.19","110,213.12"
05/19/2023,"110,113.00","111,211.29","109,786.92","110,744.51"
05/18/2023,"109,459.33","110,205.74","108,864.44","110,108.46"
05/17/2023,"108,194.11","109,773.75","108,188.17","109,459.95"
05/16/2023,"109,029.12","110,151.03","108,085.20","108,193.68"
05/15/2023,"108,469.09","109,270.58","108,356.35","109,029.12"
05/12/2023,"108,255.65","108,816.78","107,496.89","108,463.84"
05/11/2023,"107,446.09","108,666.85","106,419.28","108,256.40"
05/10/2023,"107,113.66","107,744.37","106,538.01","107,448.21"
05/09/2023,"106,027.51","107,731.10","105,549.08","107,113.66"
05/08/2023,"105,161.13","106,715.75","105,161.13","106,042.15"
05/05/2023,"102,174.73","105,305.64","102,174.73","105,148.48"
05/04/2023,"101,797.91","103,320.81","101,063.49","102,174.34"
05/03/2023,"101,926.95","102,331.07","101,433.34","101,797.09"
05/02/2023,"104,431.23","104,446.78","101,569.48","101,926.95"
04/28/2023,"102,922.70","104,431.63","102,448.52","104,431.63"
04/27/2023,"102,309.98","103,177.38","101,975.35","102,923.31"
04/26/2023,"103,220.09","103,667.52","102,233.43","102,312.10"
04/25/2023,"103,946.58","103,946.58","102,633.10","103,220.09"
04/24/2023,"104,366.82","104,821.97","103,247.04","103,946.58"
04/20/2023,"103,913.47","104,615.18","103,086.98","104,366.82"
04/19/2023,"106,148.97","106,148.97","103,603.70","103,912.94"
04/18/2023,"106,022.52","106,474.75","105,121.74","106,163.23"
04/17/2023,"106,279.37","106,829.81","105,622.91","106,015.67"
04/14/2023,"106,457.58","106,700.62","104,934.09","106,279.37"
04/13/2023,"106,889.71","107,037.28","106,219.71","106,457.85"
04/12/2023,"106,217.90","108,277.02","106,216.58","106,889.71"
04/11/2023,"101,848.94","106,455.33","101,847.79","106,213.76"
04/10/2023,"100,821.82","102,195.62","100,819.10","101,846.64"
04/06/2023,"100,977.85","101,627.96","100,442.96","100,821.73"
04/05/2023,"101,869.09","101,960.48","99,897.78","100,977.85"
04/04/2023,"101,517.23","103,055.92","101,504.82","101,869.45"
04/03/2023,"101,883.21","101,915.71","100,650.55","101,506.18"
03/31/2023,"103,714.34","104,040.62","101,475.57","101,882.20"
03/30/2023,"101,795.79","104,085.40","101,795.79","103,713.45"
03/29/2023,"101,185.19","102,213.27","100,247.89","101,792.52"
03/28/2023,"99,672.17","101,559.17","99,488.19","101,185.09"
03/27/2023,"98,833.08","99,996.57","98,833.08","99,670.47"
03/24/2023,"97,926.14","99,258.43","97,687.66","98,829.27"
03/23/2023,"100,221.10","101,125.76","96,996.84","97,926.34"
03/22/2023,"100,997.54","101,887.72","100,128.79","100,220.63"
03/21/2023,"100,922.79","101,670.35","100,922.79","100,998.13"
03/20/2023,"101,981.53","102,328.44","100,678.84","100,922.89"
03/17/2023,"103,433.65","103,433.65","101,663.65","101,981.53"
03/16/2023,"102,682.65","103,911.26","102,454.77","103,434.66"
03/15/2023,"102,929.70","103,048.28","100,692.04","102,675.45"
03/14/2023,"103,121.36","104,153.48","102,482.23","102,932.38"
03/13/2023,"103,607.98","103,906.78","102,254.72","103,121.36"
03/10/2023,"105,071.19","105,071.19","103,201.41","103,618.20"
03/09/2023,"106,539.92","106,723.99","105,053.24","105,071.19"
03/08/2023,"104,227.93","106,721.24","104,227.93","106,540.32"
03/07/2023,"104,700.02","105,178.55","103,480.42","104,227.93"
03/06/2023,"103,864.62","105,170.97","103,170.44","104,700.32"
03/03/2023,"103,325.61","104,440.12","103,322.71","103,865.99"
03/02/2023,"104,374.89","104,912.41","103,320.59","103,325.61"
03/01/2023,"104,933.17","105,497.01","103,104.81","104,384.67"
02/28/2023,"105,705.79","106,793.71","104,931.93","104,931.93"
02/27/2023,"105,807.20","106,402.11","105,226.60","105,711.05"
02/24/2023,"107,581.79","107,610.59","105,359.92","105,798.43"
02/23/2023,"107,152.05","108,663.34","106,731.17","107,592.87"
02/22/2023,"109,173.51","109,173.51","106,720.17","107,152.05"
02/17/2023,"109,941.46","109,941.46","108,968.48","109,176.92"
02/16/2023,"109,599.20","110,436.98","108,377.51","109,941.46"
02/15/2023,"107,848.81","110,209.69","107,266.63","109,600.14"
02/14/2023,"108,838.52","109,564.11","107,557.07","107,848.81"
02/13/2023,"108,074.15","109,192.91","107,419.59","108,836.47"
02/10/2023,"108,001.55","108,646.51","107,619.93","108,078.27"
02/09/2023,"109,951.97","110,045.92","107,766.59","108,008.05"
02/08/2023,"107,832.11","110,175.02","107,830.39","109,951.49"
02/07/2023,"108,726.78","109,037.00","107,233.94","107,829.73"
02/06/2023,"108,517.62","108,743.77","107,415.53","108,721.58"
02/03/2023,"110,140.64","110,570.22","108,184.98","108,523.47"
02/02/2023,"112,071.61","112,943.15","109,746.74","110,140.64"
02/01/2023,"113,429.60","113,597.64","110,729.47","112,073.55"
01/31/2023,"112,273.01","113,691.16","112,144.78","113,430.54"
01/30/2023,"112,318.91","112,920.30","111,823.63","112,273.01"
01/27/2023,"114,178.21","114,190.65","112,044.46","112,316.16"
01/26/2023,"114,271.19","114,835.35","113,591.04","114,177.55"
01/25/2023,"113,028.01","114,426.47","111,927.22","114,270.07"
01/24/2023,"111,746.04","113,040.25","111,669.24","113,028.15"
01/23/2023,"112,040.64","113,061.34","111,541.82","111,737.28"
01/20/2023,"112,921.52","113,024.87","111,734.58","112,040.64"
01/19/2023,"112,219.38","113,171.83","111,306.96","112,921.88"
01/18/2023,"111,442.39","113,306.24","111,441.08","112,228.39"
01/17/2023,"109,213.72","111,577.45","109,213.72","111,439.12"
01/16/2023,"110,907.91","110,907.91","108,752.91","109,212.66"
01/13/2023,"111,843.47","111,846.71","110,427.64","110,916.08"
01/12/2023,"112,516.40","113,128.80","110,981.59","111,850.22"
01/11/2023,"110,816.14","112,552.12","110,752.00","112,517.08"
01/10/2023,"109,128.58","111,193.43","108,478.19","110,816.71"
01/09/2023,"108,963.90","109,937.57","108,134.33","109,129.57"
01/06/2023,"107,641.87","109,432.79","107,641.87","108,963.70"
01/05/2023,"105,336.15","107,743.23","105,333.08","107,641.32"
01/04/2023,"104,167.14","105,627.28","103,915.11","105,334.46"
01/03/2023,"106,376.76","106,683.69","103,852.27","104,165.74"
01/02/2023,"109,733.88","109,733.88","105,980.66","106,376.02"
